Time,Text,Image
5580,0.557692308,0.442307692
5590,0.560311284,0.439688716
5600,0.562737643,0.437262357
5610,0.553435115,0.446564885
5620,0.568627451,0.431372549
5630,0.571984436,0.428015564
5640,0.56626506,0.43373494
5650,0.553784861,0.446215139
5660,0.552123552,0.447876448
5670,0.553435115,0.446564885
5680,0.544776119,0.455223881
5690,0.540145985,0.459854015
5700,0.52398524,0.47601476
5710,0.528089888,0.471910112
5720,0.532319392,0.467680608
5730,0.539622642,0.460377358
5740,0.545454545,0.454545455
5750,0.54789272,0.45210728
5760,0.55078125,0.44921875
5770,0.547528517,0.452471483
5780,0.553435115,0.446564885
5790,0.544401544,0.455598456
5800,0.545454545,0.454545455
5810,0.533596838,0.466403162
5820,0.530120482,0.469879518
5830,0.524390244,0.475609756
5840,0.519685039,0.480314961
5850,0.531496063,0.468503937
5860,0.53125,0.46875
5870,0.528735632,0.471264368
5880,0.525291829,0.474708171
5890,0.517928287,0.482071713
5900,0.525490196,0.474509804
5910,0.515151515,0.484848485
5920,0.519230769,0.480769231
5930,0.528957529,0.471042471
5940,0.521568627,0.478431373
5950,0.511811024,0.488188976
5960,0.530120482,0.469879518
5970,0.550200803,0.449799197
5980,0.553359684,0.446640316
5990,0.550387597,0.449612403
6000,0.53875969,0.46124031
6010,0.519379845,0.480620155
6020,0.509727626,0.490272374
6030,0.515503876,0.484496124
6040,0.51984127,0.48015873
6050,0.521072797,0.478927203
6060,0.509727626,0.490272374
6070,0.5,0.5
6080,0.507874016,0.492125984
6090,0.492125984,0.507874016
6100,0.496031746,0.503968254
6110,0.492063492,0.507936508
6120,0.494117647,0.505882353
6130,0.490421456,0.509578544
6140,0.49034749,0.50965251
6150,0.492248062,0.507751938
6160,0.509727626,0.490272374
6170,0.509960159,0.490039841
6180,0.526923077,0.473076923
6190,0.5234375,0.4765625
6200,0.532,0.468
6210,0.528957529,0.471042471
6220,0.525896414,0.474103586
6230,0.502024291,0.497975709
6240,0.497959184,0.502040816
6250,0.496031746,0.503968254
6260,0.506024096,0.493975904
6270,0.508,0.492
6280,0.5,0.5
6290,0.504032258,0.495967742
6300,0.5,0.5
6310,0.511538462,0.488461538
6320,0.504,0.496
6330,0.510040161,0.489959839
6340,0.512,0.488
6350,0.523809524,0.476190476
6360,0.532258065,0.467741935
6370,0.524193548,0.475806452
6380,0.537848606,0.462151394
6390,0.519685039,0.480314961
6400,0.517647059,0.482352941
6410,0.519379845,0.480620155
6420,0.52173913,0.47826087
6430,0.515873016,0.484126984
6440,0.502024291,0.497975709
6450,0.506122449,0.493877551
6460,0.514285714,0.485714286
6470,0.497942387,0.502057613
6480,0.487804878,0.512195122
6490,0.487704918,0.512295082
6500,0.485714286,0.514285714
6510,0.477911647,0.522088353
6520,0.471774194,0.528225806
6530,0.468253968,0.531746032
6540,0.461538462,0.538461538
6550,0.463114754,0.536885246
6560,0.469879518,0.530120482
6570,0.469879518,0.530120482
6580,0.478087649,0.521912351
6590,0.474103586,0.525896414
6600,0.482071713,0.517928287
6610,0.486055777,0.513944223
6620,0.484251969,0.515748031
6630,0.482490272,0.517509728
6640,0.483739837,0.516260163
6650,0.476190476,0.523809524
6660,0.473895582,0.526104418
6670,0.473469388,0.526530612
6680,0.471544715,0.528455285
6690,0.469879518,0.530120482
6700,0.473895582,0.526104418
6710,0.465306122,0.534693878
6720,0.475609756,0.524390244
6730,0.475806452,0.524193548
6740,0.467213115,0.532786885
6750,0.465863454,0.534136546
6760,0.473251029,0.526748971
6770,0.483471074,0.516528926
6780,0.489539749,0.510460251
6790,0.475206612,0.524793388
6800,0.467741935,0.532258065
6810,0.471311475,0.528688525
6820,0.483739837,0.516260163
6830,0.473684211,0.526315789
6840,0.477366255,0.522633745
6850,0.493562232,0.506437768
6860,0.495652174,0.504347826
6870,0.495726496,0.504273504
6880,0.473029046,0.526970954
6890,0.474103586,0.525896414
6900,0.475409836,0.524590164
6910,0.484,0.516
6920,0.488095238,0.511904762
6930,0.479508197,0.520491803
6940,0.465306122,0.534693878
6950,0.471774194,0.528225806
6960,0.481327801,0.518672199
6970,0.473251029,0.526748971
6980,0.477732794,0.522267206
6990,0.473684211,0.526315789
7000,0.470119522,0.529880478
7010,0.474708171,0.525291829
7020,0.468253968,0.531746032
7030,0.47265625,0.52734375
7040,0.472440945,0.527559055
7050,0.484251969,0.515748031
7060,0.485943775,0.514056225
7070,0.493775934,0.506224066
7080,0.502057613,0.497942387
7090,0.504065041,0.495934959
7100,0.502040816,0.497959184
7110,0.497942387,0.502057613
7120,0.493877551,0.506122449
7130,0.502057613,0.497942387
7140,0.502024291,0.497975709
7150,0.495934959,0.504065041
7160,0.488,0.512
7170,0.470119522,0.529880478
7180,0.487804878,0.512195122
7190,0.491869919,0.508130081
7200,0.498007968,0.501992032
7210,0.495901639,0.504098361
7220,0.5,0.5
7230,0.502024291,0.497975709
7240,0.506024096,0.493975904
